"Area","Year","Month","TM"
"AT",1872,"11",2.3
"AT",1872,"12",-0.2
"AT",1873,"01",-1.8
"AT",1873,"02",-3.5
"AT",1873,"03",3.1
"AT",1873,"04",4.1
"AT",1873,"05",6.9
"AT",1873,"06",12.4
"AT",1873,"07",16.4
"AT",1873,"08",16
"AT",1873,"09",10.2
"AT",1873,"10",8.5
"AT",1873,"11",1.1
"AT",1873,"12",-3
"AT",1874,"01",-3.6
"AT",1874,"02",-3.7
"AT",1874,"03",-0.5
"AT",1874,"04",6.6
"AT",1874,"05",5.8
"AT",1874,"06",13.2
"AT",1874,"07",17
"AT",1874,"08",12.9
"AT",1874,"09",12.8
"AT",1874,"10",7
"AT",1874,"11",-2.6
"AT",1874,"12",-5
"AT",1875,"01",-3.4
"AT",1875,"02",-8
"AT",1875,"03",-3.3
"AT",1875,"04",3.9
"AT",1875,"05",10.8
"AT",1875,"06",14.7
"AT",1875,"07",14.3
"AT",1875,"08",15.3
"AT",1875,"09",10.3
"AT",1875,"10",4.5
"AT",1875,"11",-0.5
"AT",1875,"12",-5.9
"AT",1876,"01",-6
"AT",1876,"02",-3.5
"AT",1876,"03",0.9
"AT",1876,"04",6.2
"AT",1876,"05",6
"AT",1876,"06",13.2
"AT",1876,"07",14.8
"AT",1876,"08",14.6
"AT",1876,"09",9.9
"AT",1876,"10",8.2
"AT",1876,"11",-2
"AT",1876,"12",-0.6
"AT",1877,"01",-1.4
"AT",1877,"02",-1.1
"AT",1877,"03",-0.8
"AT",1877,"04",3.8
"AT",1877,"05",7.1
"AT",1877,"06",15
"AT",1877,"07",14.1
"AT",1877,"08",16
"AT",1877,"09",8.4
"AT",1877,"10",4
"AT",1877,"11",1.4
"AT",1877,"12",-3.9
"AT",1878,"01",-5.7
"AT",1878,"02",-1.6
"AT",1878,"03",-0.7
"AT",1878,"04",5.3
"AT",1878,"05",10.2
"AT",1878,"06",12.6
"AT",1878,"07",13.6
"AT",1878,"08",14.3
"AT",1878,"09",11.6
"AT",1878,"10",7.1
"AT",1878,"11",-0.6
"AT",1878,"12",-5.9
"AT",1879,"01",-5
"AT",1879,"02",-1.8
"AT",1879,"03",-0.5
"AT",1879,"04",4.1
"AT",1879,"05",6.8
"AT",1879,"06",13.6
"AT",1879,"07",12.2
"AT",1879,"08",15.6
"AT",1879,"09",12
"AT",1879,"10",4.8
"AT",1879,"11",-2.5
"AT",1879,"12",-10.4
"AT",1880,"01",-7.2
"AT",1880,"02",-3.7
"AT",1880,"03",1.1
"AT",1880,"04",6.7
"AT",1880,"05",8
"AT",1880,"06",11.9
"AT",1880,"07",15.9
"AT",1880,"08",13
"AT",1880,"09",11.3
"AT",1880,"10",6.7
"AT",1880,"11",1.5
"AT",1880,"12",0.1
"AT",1881,"01",-7.8
"AT",1881,"02",-3.1
"AT",1881,"03",0.5
"AT",1881,"04",3
"AT",1881,"05",8.4
"AT",1881,"06",12.2
"AT",1881,"07",16.3
"AT",1881,"08",14.7
"AT",1881,"09",9.6
"AT",1881,"10",3
"AT",1881,"11",1.4
"AT",1881,"12",-2.1
"AT",1882,"01",-2
"AT",1882,"02",-2
"AT",1882,"03",3.9
"AT",1882,"04",4.7
"AT",1882,"05",10
"AT",1882,"06",11.1
"AT",1882,"07",14.2
"AT",1882,"08",12.2
"AT",1882,"09",10.5
"AT",1882,"10",7
"AT",1882,"11",0.5
"AT",1882,"12",-2.1
"AT",1883,"01",-4.1
"AT",1883,"02",-1.7
"AT",1883,"03",-3.6
"AT",1883,"04",3.1
"AT",1883,"05",9.4
"AT",1883,"06",12.6
"AT",1883,"07",13.9
"AT",1883,"08",13.6
"AT",1883,"09",10.5
"AT",1883,"10",5.5
"AT",1883,"11",0.3
"AT",1883,"12",-3.9
"AT",1884,"01",-2.4
"AT",1884,"02",-1.6
"AT",1884,"03",1.6
"AT",1884,"04",4.2
"AT",1884,"05",10.4
"AT",1884,"06",9.4
"AT",1884,"07",15
"AT",1884,"08",13.8
"AT",1884,"09",11
"AT",1884,"10",4.4
"AT",1884,"11",-1.9
"AT",1884,"12",-2.3
"AT",1885,"01",-7
"AT",1885,"02",-1
"AT",1885,"03",0.4
"AT",1885,"04",6.6
"AT",1885,"05",7.5
"AT",1885,"06",14.1
"AT",1885,"07",15.2
"AT",1885,"08",13.1
"AT",1885,"09",11.1
"AT",1885,"10",5.1
"AT",1885,"11",1
"AT",1885,"12",-4.4
"AT",1886,"01",-5.4
"AT",1886,"02",-4.6
"AT",1886,"03",-2.3
"AT",1886,"04",6.3
"AT",1886,"05",9.8
"AT",1886,"06",11.2
"AT",1886,"07",14.8
"AT",1886,"08",14.2
"AT",1886,"09",12.8
"AT",1886,"10",7.4
"AT",1886,"11",1.5
"AT",1886,"12",-2.5
"AT",1887,"01",-6.4
"AT",1887,"02",-5.3
"AT",1887,"03",-1.3
"AT",1887,"04",4.9
"AT",1887,"05",7.4
"AT",1887,"06",12.9
"AT",1887,"07",16.7
"AT",1887,"08",13.8
"AT",1887,"09",11.2
"AT",1887,"10",2.6
"AT",1887,"11",0.6
"AT",1887,"12",-4.9
"AT",1888,"01",-6.4
"AT",1888,"02",-4.9
"AT",1888,"03",-0.9
"AT",1888,"04",3.5
"AT",1888,"05",10
"AT",1888,"06",13.3
"AT",1888,"07",12.4
"AT",1888,"08",13.1
"AT",1888,"09",10.8
"AT",1888,"10",3.6
"AT",1888,"11",-0.3
"AT",1888,"12",-2.3
"AT",1889,"01",-5.7
"AT",1889,"02",-5.5
"AT",1889,"03",-2.6
"AT",1889,"04",3.8
"AT",1889,"05",12.1
"AT",1889,"06",14.7
"AT",1889,"07",14
"AT",1889,"08",13
"AT",1889,"09",8.4
"AT",1889,"10",6.6
"AT",1889,"11",0.2
"AT",1889,"12",-6
"AT",1890,"01",-1.8
"AT",1890,"02",-5.8
"AT",1890,"03",0.9
"AT",1890,"04",4.2
"AT",1890,"05",10.6
"AT",1890,"06",11.2
"AT",1890,"07",13.7
"AT",1890,"08",15.1
"AT",1890,"09",9.7
"AT",1890,"10",4.2
"AT",1890,"11",-0.4
"AT",1890,"12",-7.7
"AT",1891,"01",-9.2
"AT",1891,"02",-5.2
"AT",1891,"03",0.3
"AT",1891,"04",2.3
"AT",1891,"05",10.7
"AT",1891,"06",12.6
"AT",1891,"07",13.7
"AT",1891,"08",12.8
"AT",1891,"09",11.3
"AT",1891,"10",7.7
"AT",1891,"11",-0.5
"AT",1891,"12",-2.3
"AT",1892,"01",-4.7
"AT",1892,"02",-2.2
"AT",1892,"03",-1.9
"AT",1892,"04",5.1
"AT",1892,"05",9.3
"AT",1892,"06",12.7
"AT",1892,"07",13.6
"AT",1892,"08",15.8
"AT",1892,"09",11.9
"AT",1892,"10",5.4
"AT",1892,"11",-0.1
"AT",1892,"12",-5.4
"AT",1893,"01",-10.1
"AT",1893,"02",-2.2
"AT",1893,"03",1
"AT",1893,"04",5.9
"AT",1893,"05",8.6
"AT",1893,"06",12.2
"AT",1893,"07",14.6
"AT",1893,"08",14.5
"AT",1893,"09",10.7
"AT",1893,"10",7.4
"AT",1893,"11",-0.7
